,PronosticosOilVol,PronosticosGasVol,PronosticosWaterVol,PronosticosWaterCut
2019-01-01,13.89160743248089,3660.648263616862,41.9505571718819,75.0137333233014
2019-01-02,13.807194908696266,3642.2629566791584,41.92230850386251,75.01910952354238
2019-01-03,13.72974659863638,3625.200036101338,41.90109663916475,75.03271901307338
2019-01-04,13.669218150832961,3611.747164970682,41.88795611409385,75.05515300341666
2019-01-05,13.619956725995568,3600.686035559231,41.87865018825353,75.07073567556327
2019-01-06,13.580209359936184,3591.6680375611586,41.87265058229387,75.07370301847124
2019-01-07,13.547243524944289,3584.100241594247,41.868520694228245,75.07388040898073
2019-01-08,13.51932911868625,3577.612687015602,41.8658053877754,75.07938287993774
2019-01-09,13.495050355709278,3571.898804539108,41.86396196138512,75.0866766642108
2019-01-10,13.473411120928688,3566.744483840428,41.86273823700445,75.08938647027274
2019-01-11,13.45367403359964,3561.991252228935,41.861913042257996,75.08823576033977
2019-01-12,13.435310074404828,3557.526088797582,41.86136266500456,75.08821681914533
2019-01-13,13.417935732743567,3553.2673862562797,41.860992752406105,75.09069576498749
2019-01-14,13.401274852142704,3549.1567138363826,41.86074546337325,75.09277930839107
2019-01-15,13.385128151944944,3545.1521246195703,41.86057952679253,75.09265580363322
2019-01-16,13.369352037586438,3541.223563656225,41.86046847179663,75.091833711363
2019-01-17,13.353842994365493,3537.349484550706,41.86039401020506,75.09214984456493
2019-01-18,13.338526424353406,3533.514447645262,41.86034414838159,75.09320535341466
2019-01-19,13.323348563690772,3529.707387941046,41.86031072929736,75.09361238749251
2019-01-20,13.308270666676101,3525.9203764204876,41.860288344778965,75.09321237576036
2019-01-21,13.293264810155394,3522.147731129159,41.860273344752024,75.09294463479684
2019-01-22,13.27831087085291,3518.385380464619,41.8602632962188,75.09324793856923
2019-01-23,13.263394346550008,3514.6304067644555,41.8602565632471,75.09362006945571
2019-01-24,13.248504785984853,3510.880719278357,41.860252052530754,75.09359302001796
2019-01-25,13.233634657278795,3507.134819806683,41.86024903028357,75.09336840201537
2019-01-26,13.2187785324602,3503.391634764026,41.86024700548206,75.09334602984391
2019-01-27,13.203932499771941,3499.650394836486,41.8602456488649,75.09352106921334
2019-01-28,13.189093740142312,3495.9105487463794,41.86024473996406,75.0936136850527
2019-01-29,13.174260221961166,3492.1717014571777,41.86024413100703,75.09353548365394
2019-01-30,13.159430481115473,3488.4335698922205,41.86024372301738,75.09345450481703
2019-01-31,13.144603462468256,3484.695951203441,41.8602434496687,75.0934898089005
2019-02-01,13.129778405617822,3480.958700033263,41.8602432665296,75.09356395588262
2019-02-02,13.114954762568274,3477.2217122208476,41.86024314382868,75.09356805822192
2019-02-03,13.10013213839742,3473.484913126256,41.86024306162095,75.09352044910023
2019-02-04,13.085310248498136,3469.748249263741,41.86024300654286,75.09350391906851
2019-02-05,13.070488887763647,3466.011682306299,41.86024296964135,75.09353346377164
2019-02-06,13.055667908380407,3462.2751847894324,41.86024294491784,75.09355616154332
2019-02-07,13.040847203824175,3458.5387370325357,41.86024292835345,75.09354392835047
2019-02-08,13.026026697326511,3454.8023249328116,41.86024291725554,75.09352459449721
2019-02-09,13.01120633356299,3451.065938384429,41.8602429098201,75.09352721943627
2019-02-10,12.996386072663158,3447.3295701457155,41.86024290483846,75.0935420302944
2019-02-11,12.981565885893724,3443.593215027409,41.860242901500825,75.09354540986698
2019-02-12,12.966745752547572,3439.8568693109687,41.86024289926466,75.09353635105916
2019-02-13,12.95192565770178,3436.120530331751,41.86024289776646,75.09353110471262
2019-02-14,12.937105590601902,3432.384196180316,41.86024289676269,75.09353581890659
2019-02-15,12.92228554349757,3428.64786548839,41.86024289609018,75.09354115643282
2019-02-16,12.907465510803354,3424.911537275491,41.8602428956396,75.09353969291607
2019-02-17,12.892645488494022,3421.175210839022,41.86024289533772,75.0935355046819
2019-02-18,12.877825473668729,3417.438885675513,41.860242895135464,75.0935351659493
2019-02-19,12.86300546423693,3413.702561424187,41.860242894999956,75.0935380158242
2019-02-20,12.84818545869204,3409.9662378265157,41.86024289490917,75.09353922365382
2019-02-21,12.833365455948314,3406.2299146972423,41.86024289484834,75.09353764129762
2019-02-22,12.818545455223294,3402.4935919036157,41.86024289480759,75.09353627546633
2019-02-23,12.803725455953087,3398.7572693505076,41.860242894780285,75.09353693681217
2019-02-24,12.788905457731314,3395.020946969751,41.86024289476199,75.09353812141109
2019-02-25,12.774085460265113,3391.2846247124994,41.86024289474973,75.09353805717747
2019-02-26,12.759265463343427,3387.548302543749,41.86024289474152,75.09353720767994
2019-02-27,12.744445466814154,3383.811980438417,41.86024289473602,75.09353697123979
2019-02-28,12.729625470567681,3380.075658378529,41.86024289473233,75.09353748988839
2019-03-01,12.714805474525011,3376.3393363512064,41.86024289472986,75.09353783021868
2019-03-02,12.699985478629216,3372.6030143472194,41.8602428947282,75.09353758093704
2019-03-03,12.685165482839269,3368.866692359954,41.860242894727094,75.09353725958668
2019-03-04,12.670345487125601,3365.130370384671,41.86024289472635,75.093537327635
2019-03-05,12.655525491466907,3361.394048417975,41.86024289472585,75.09353757617548
2019-03-06,12.64070549584783,3357.6577264574316,41.860242894725516,75.09353761172184
2019-03-07,12.625885500257304,3353.9214045012973,41.860242894725296,75.09353744943161
2019-03-08,12.611065504687353,3350.1850825483225,41.86024289472515,75.09353737043739
2019-03-09,12.596245509132231,3346.448760597612,41.86024289472505,75.0935374580186
2019-03-10,12.581425513587796,3342.7124386485234,41.86024289472498,75.09353754277156
2019-03-11,12.56660551805106,3338.9761167005977,41.86024289472494,75.0935375096971
